job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,Posted_as_on_22_5_2022
RF Engineer - RF Engineer,AgreeYa,3.4,(108 Reviews),7-10 Yrs,Not disclosed,Pune,Perform network design/optimization activities under technical supervision. Responsibil...,"IPv6
Netbrain
MX
IPv4
Ansible
ASR9K
Nexus
troubleshooting",30+ DAYS AGO
Senior Software Developer-.NetCore & MVC (Early Joiners Required),Broadway Infotech Pvt. Ltd.,3.6,(18 Reviews),6-11 Yrs,Not disclosed,Remote,We are seeking experienced .NET Developers.Skills Must have6 to 12 years of experience ...,".Net Core
Web Api
LINQ
JQuery
MVC
RESTful APIs
Web API's
MVC Architecture",2 DAYS AGO
Team Leaders Operations,Money Multiplier,4.5,(7 Reviews),3-6 Yrs,Not disclosed,Delhi,Team Leaders Operations,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Information",30+ DAYS AGO
Module Lead Software Engineer,Impetus,3.9,(180 Reviews),3-6 Yrs,Not disclosed,"Noida, Indore, Bangalore/Bengaluru","Should be good in mathematics, problem solving skills Experience in usage of design pat...","Microservices architecture
Azure
AWS
Core JAVA
GCP
Linux
design patterns
Multi - threading",22 DAYS AGO
DevOps Application Lead,Accenture,4.1,(26567 Reviews),6-8 Yrs,Not disclosed,Gurgaon/Gurugram,"Educational Qualification : Minimum 15 years of full time education, Qualified in Compu...","DNS
HTTP
JSON
CRM
Python
Communication
S
Bitbucket",12 DAYS AGO
System Engineer,BOLD Technology Systems,4.2,(59 Reviews),3-8 Yrs,Not disclosed,Noida,"Experience in documenting processes, escalation management, trouble ticket initiation a...","Windows Server Administration
DNS
DHCP
Active Directory
LAN Networking
WAN
Active Directory Administration
LAN",24 DAYS AGO
Data Annotation Manager (AI/ML) | Work From Office (Delhi - Pitampura),Suntec Web Services Private Limited,3.1,(212 Reviews),3-6 Yrs,"4,00,000 - 7,00,000 PA.","New Delhi(Rani Bagh), Delhi / NCR",The candidate should be able to understand the business use-case and own the data annot...,"Data Annotation
analytical
IT Skills
Machine Learning
Artificial Intelligence",25 DAYS AGO
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,3.6,(147 Reviews),5-6 Yrs,Not disclosed,Pune,Resource requirement: 5-6 Years of hands-on experience on defined technologies Willing ...,"Lambda
Charles
Android APK
communication
iOS IPA
Java
C#
Fiddler",30+ DAYS AGO
Business Development Executive,BarrierBreak Solutions Pvt Ltd,3.5,(10 Reviews),0-2 Yrs,"2,00,000 - 3,25,000 PA.",Mumbai (All Areas),Ability to put together effective testing strategies and a good knowledge of MS Office ...,"Lead Generation
Business Development
Word
MS Office
written
Excel
PPT
IT Skills",
Asst. Manager Crm,KD Group of Industries,2.9,(2 Reviews),2-4 Yrs,Not disclosed,Gurgaon,He Has to Knowledge of Crm also Basic Knowledge of Sales Department and He Has also Own...,"Help Desk
Customer Service
data analysis
customer relationship
access controls
Telephony support
Vendor Management
Information",30+ DAYS AGO
